freq (Hz),"dB20((VF(""/Vout"") / VF(""/Vline""))) (dB)",Vline (V),Vout (V)
3.681,-27.97,1.00E-02,4.00E-04
3.69,-27.97,1.00E-02,4.00E-04
3.698,-27.97,1.00E-02,4.00E-04
3.707,-27.97,1.00E-02,4.00E-04
3.715,-27.97,1.00E-02,4.00E-04
3.724,-27.97,1.00E-02,4.00E-04
3.733,-27.97,1.00E-02,4.00E-04
3.741,-27.97,1.00E-02,4.00E-04
3.75,-27.97,1.00E-02,4.00E-04
3.758,-27.97,1.00E-02,4.00E-04
3.767,-27.97,1.00E-02,4.00E-04
3.776,-27.97,1.00E-02,4.00E-04
3.784,-27.97,1.00E-02,4.00E-04
3.793,-27.97,1.00E-02,4.00E-04
3.802,-27.97,1.00E-02,4.00E-04
3.811,-27.97,1.00E-02,4.00E-04
3.819,-27.97,1.00E-02,4.00E-04
3.828,-27.97,1.00E-02,4.00E-04
3.837,-27.97,1.00E-02,4.00E-04
3.846,-27.97,1.00E-02,4.00E-04
3.855,-27.97,1.00E-02,4.00E-04
3.864,-27.97,1.00E-02,4.00E-04
3.873,-27.97,1.00E-02,4.00E-04
3.882,-27.97,1.00E-02,4.00E-04
3.89,-27.97,1.00E-02,4.00E-04
3.899,-27.97,1.00E-02,4.00E-04
3.908,-27.97,1.00E-02,4.00E-04
3.917,-27.97,1.00E-02,4.00E-04
3.926,-27.97,1.00E-02,4.00E-04
